,count
music,2418
theory,413
analysis,377
digital,292
cultural,278
learning,267
cognition,266
information,260
data,239
computational,237
harmony,230
language,215
structure,207
musicology,202
evolution,199
perception,193
study,180
models,176
tonal,166
research,154
psychology,153
science,142
modeling,135
model,132
retrieval,128
humanities,128
processing,127
pitch,126
human,118
libraries,118
concept,117
corpus,108
neural,108
methods,107
chord,107
systems,107
bayesian,106
society,106
statistical,104
approach,103
social,84
mathematics,84
auditory,83
style,83
history,83
melodic,82
melody,82
computation,79
representation,78
approaches,77
machine,73
patterns,71
networks,71
computer,71
critical,70
tonality,70
artificial,70
understanding,70
recognition,66
network,64
time,63
evolutionary,62
similarity,60
music theory,60
rhythm,60
syntax,59
sound,59
based,58
culture,57
speech,57
mathematical,57
hierarchical,57
probabilistic,57
classical,56
space,56
structures,55
audio,54
encoding,54
symbolic,53
meaning,53
method,52
classification,52
computing,52
key,52
western,52
system,52
features,51
automatic,50
intelligence,49
knowledge,49
song,47
historical,46
pattern,45
distribution,44
effects,44
10th,43
genre,43
statistics,43
songs,43
applications,43
performance,43
natural,43
processes,42
change,42
sequences,42
chords,41
framework,41
foundations,41
jazz,41
behavioral,40
ismir,40
emotion,40
topic,40
results,40
development,40
transmission,40
generative,40
algorithmic,39
representations,39
distributions,39
scale,38
symposium,38
form,38
popular,38
world,37
brain,36
empirical,36
memory,36
scales,36
grammar,36
selection,36
formal,36
global,35
entropy,35
folk,35
inference,34
art,34
both,34
context,34
emotions,33
large,33
been,33
rhythmic,33
deep,33
over,33
workshop,33
creativity,32
2016,32
generation,32
ieee,32
what,32
evidence,32
text,32
work,32
complex,32
early,31
function,31
linguistic,31
prediction,31
complexity,30
scores,30
practice,30
process,30
9th,30
number,30
exploring,30
evaluation,30
visual,29
semantic,29
set,29
principles,29
perspective,29
functional,29
detection,29
traditional,28
genetic,28
aspects,28
8th,28
perspectives,28
show,28
influence,28
implicit,28
discovery,28
modern,27
emotional,27
dataset,27
generalized,27
advances,27
common,27
voice,27
functions,26
7th,26
mechanisms,26
2020,26
order,26
organization,26
may,26
manner,26
description,26
19th,26
database,26
measures,26
interval,26
musicological,26
score,26
chant,26
expectancy,25
cumulative,25
languages,25
many,25
case,25
big,25
applied,25
media,25
composition,25
web,25
linguistics,25
theoretical,25
experimental,25
tools,24
"music,music",24
scientific,24
estimation,24
review,24
structural,24
quantitative,24
diversity,24
cross-cultural,24
algorithm,24
meter,24
sets,24
content,24
future,24
notation,24
provide,23
transformations,23
software,23
perceived,23
when,23
temporal,23
corpora,23
online,23
properties,23
technology,23
neo-riemannian,23
communication,23
20th,22
perceptual,22
techniques,22
algorithms,22
acoustics,22
were,22
article,22
leading,22
there,22
training,22
will,22
vocal,22
musicians,22
book,22
measure,21
progressions,21
origins,21
"cognition,music",21
effect,21
nosource,21
analytical,21
works,21
python,21
issues,21
open,21
hierarchy,21
spaces,21
expectation,21
well,21
neuroscience,21
related,21
diatonic,21
finding,20
embodied,20
problem,20
us,20
potential,20
versus,20
community,20
comparative,20
multiple,20
2022,20
three,20
experiments,20
word,20
sequence,20
"theory,theory",20
application,20
behaviour,20
schenkerian,20
dynamic,20
metrical,19
general,19
listening,19
cortical,19
musik,19
graph,19
feature,19
predictive,19
presents,19
here,19
latent,19
design,19
presented,19
thinking,19
no,19
relationships,19
search,19
pieces,19
cortex,19
acoustic,19
way,19
practical,19
elements,19
probability,19
responses,19
frequency,19
experience,19
systematic,19
group,19
dynamics,19
